accession	header
A0A075B5P4	tr|A0A075B5P4|A0A075B5P4_MOUSE Ig gamma-1 chain C region secreted form (Fragment) OS=Mus musculus GN=Ighg1 PE=1 SV=1
A0A0A6YWR2	tr|A0A0A6YWR2|A0A0A6YWR2_MOUSE Ig gamma-1 chain C region secreted form (Fragment) OS=Mus musculus GN=Ighg1 PE=1 SV=1
A2I7N0	sp|A2I7N0|SPA34_BOVIN Serpin A3-4 OS=Bos taurus GN=SERPINA3-4 PE=3 SV=1
A2I7N1	sp|A2I7N1|SPA35_BOVIN Serpin A3-5 OS=Bos taurus GN=SERPINA3-5 PE=3 SV=1
A2I7N3	sp|A2I7N3|SPA37_BOVIN Serpin A3-7 OS=Bos taurus GN=SERPINA3-7 PE=3 SV=1
A5PJ69	tr|A5PJ69|A5PJ69_BOVIN SERPINA10 protein OS=Bos taurus GN=SERPINA10 PE=2 SV=1
A6QNW7	tr|A6QNW7|A6QNW7_BOVIN CD5L protein OS=Bos taurus GN=CD5L PE=2 SV=1
A6QPP2	tr|A6QPP2|A6QPP2_BOVIN SERPIND1 protein OS=Bos taurus GN=SERPIND1 PE=2 SV=1
C8CHS1	tr|C8CHS1|C8CHS1_BACCE Enhanced green fluorescent protein OS=Bacillus cereus GN=eGFP PE=4 SV=1
CaM-tag	xx|CaM-tag|CaM-tag
c-myc-tag	xx|c-myc-tag|Myc-tag
E1BF81	sp|E1BF81|CBG_BOVIN Corticosteroid-binding globulin OS=Bos taurus GN=SERPINA6 PE=3 SV=1
E1BH94	tr|E1BH94|E1BH94_BOVIN Uncharacterized protein OS=Bos taurus GN=PGLYRP2 PE=4 SV=2
E1BJK2	tr|E1BJK2|E1BJK2_BOVIN Tubulin beta chain OS=Bos taurus GN=TUBB1 PE=3 SV=1
E1BNR0	tr|E1BNR0|E1BNR0_BOVIN Uncharacterized protein OS=Bos taurus GN=APOB PE=1 SV=2
F1MJK3	tr|F1MJK3|F1MJK3_BOVIN Uncharacterized protein OS=Bos taurus PE=4 SV=2
F1MYN5	tr|F1MYN5|F1MYN5_BOVIN Fibulin-1 OS=Bos taurus GN=FBLN1 PE=1 SV=2
F1N076	tr|F1N076|F1N076_BOVIN Uncharacterized protein OS=Bos taurus GN=CP PE=1 SV=2
FLAG-tag	xx|FLAG-tag|FLAG-tag
FLAG-tag_3x	xx|FLAG-tag_3x|FLAG-tag 3x
G3MXG6	tr|G3MXG6|G3MXG6_BOVIN Uncharacterized protein OS=Bos taurus PE=4 SV=1
G3MYZ3	tr|G3MYZ3|G3MYZ3_BOVIN Uncharacterized protein OS=Bos taurus GN=AFM PE=4 SV=1
G3N0S9	tr|G3N0S9|G3N0S9_BOVIN Uncharacterized protein OS=Bos taurus GN=LOC515150 PE=4 SV=1
G3N0V2	tr|G3N0V2|G3N0V2_BOVIN Uncharacterized protein OS=Bos taurus GN=KRT1 PE=1 SV=1
G3N0W1	tr|G3N0W1|G3N0W1_BOVIN Uncharacterized protein OS=Bos taurus GN=ITSN1 PE=4 SV=1
G3N2D7	tr|G3N2D7|G3N2D7_BOVIN Uncharacterized protein OS=Bos taurus GN=IGLL1 PE=4 SV=1
G3N3Q3	tr|G3N3Q3|G3N3Q3_BOVIN Uncharacterized protein OS=Bos taurus PE=4 SV=1
HA-tag	xx|HA-tag|HA-tag
O43790	"sp|O43790|KRT86_HUMAN Keratin, type II cuticular Hb6 OS=Homo sapiens GN=KRT86 PE=1 SV=1"
O76009	"sp|O76009|KT33A_HUMAN Keratin, type I cuticular Ha3-I OS=Homo sapiens GN=KRT33A PE=2 SV=2"
O76011	"sp|O76011|KRT34_HUMAN Keratin, type I cuticular Ha4 OS=Homo sapiens GN=KRT34 PE=2 SV=2"
O76013	"sp|O76013|KRT36_HUMAN Keratin, type I cuticular Ha6 OS=Homo sapiens GN=KRT36 PE=2 SV=1"
O76014	"sp|O76014|KRT37_HUMAN Keratin, type I cuticular Ha7 OS=Homo sapiens GN=KRT37 PE=3 SV=3"
O76015	"sp|O76015|KRT38_HUMAN Keratin, type I cuticular Ha8 OS=Homo sapiens GN=KRT38 PE=1 SV=3"
O77727	"sp|O77727|K1C15_SHEEP Keratin, type I cytoskeletal 15 OS=Ovis aries GN=KRT15 PE=2 SV=1"
O82803	sp|O82803|SRPP_HEVBR Small rubber particle protein OS=Hevea brasiliensis GN=SRPP PE=1 SV=1
O95678	"sp|O95678|K2C75_HUMAN Keratin, type II cytoskeletal 75 OS=Homo sapiens GN=KRT75 PE=1 SV=2"
P00004	sp|P00004|CYC_HORSE Cytochrome c OS=Equus caballus GN=CYCS PE=1 SV=2
P00330	sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5
P00366	"sp|P00366|DHE3_BOVIN Glutamate dehydrogenase 1, mitochondrial OS=Bos taurus GN=GLUD1 PE=1 SV=2"
P00639	sp|P00639|DNAS1_BOVIN Deoxyribonuclease-1 OS=Bos taurus GN=DNASE1 PE=1 SV=3
P00698	sp|P00698|LYSC_CHICK Lysozyme C OS=Gallus gallus GN=LYZ PE=1 SV=1
P00711	sp|P00711|LALBA_BOVIN Alpha-lactalbumin OS=Bos taurus GN=LALBA PE=1 SV=2
P00722	sp|P00722|BGAL_ECOLI Beta-galactosidase OS=Escherichia coli (strain K12) GN=lacZ PE=1 SV=2
P00735	sp|P00735|THRB_BOVIN Prothrombin OS=Bos taurus GN=F2 PE=1 SV=2
P00760	sp|P00760|TRY1_BOVIN Cationic trypsin OS=Bos taurus PE=1 SV=3
P00761	sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1
P00766	sp|P00766|CTRA_BOVIN Chymotrypsinogen A OS=Bos taurus PE=1 SV=1
P00767	sp|P00767|CTRB_BOVIN Chymotrypsinogen B OS=Bos taurus PE=1 SV=1
P00791	sp|P00791|PEPA_PIG Pepsin A OS=Sus scrofa GN=PGA PE=1 SV=3
P00792	sp|P00792|PEPA_BOVIN Pepsin A OS=Bos taurus GN=PGA PE=1 SV=2
P00883	sp|P00883|ALDOA_RABIT Fructose-bisphosphate aldolase A OS=Oryctolagus cuniculus GN=ALDOA PE=1 SV=2
P00921	sp|P00921|CAH2_BOVIN Carbonic anhydrase 2 OS=Bos taurus GN=CA2 PE=1 SV=3
P00978	sp|P00978|AMBP_BOVIN Protein AMBP OS=Bos taurus GN=AMBP PE=1 SV=2
